Index,Title,Type,Organization,Description,Entry_ID,Collection,Image_url
92,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.012,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/ea642240-66a5-11eb-a877-6b8566f86a20-stuih9X.lg_sq@2x.JPG
93,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.013,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/18895950-66cf-11eb-a877-6b8566f86a20-stuihPV.lg_sq@2x.JPG
94,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Shows fallen tree branches at the Dodd Meade residence.",1985.046.001.014,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/caeecf10-66a4-11eb-a877-6b8566f86a20-stuihwC.lg_sq@2x.JPG
95,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Shows fallen tree branches at Dodd Meade residence.",1985.046.001.015,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/19f22b90-66e4-11eb-b926-21c8fb58c7e7-so3oBcS.tn@2x.jpg
96,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Interior of Dodd Mead Photo Studio.",1985.046.001.016,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a538af30-66a3-11eb-a877-6b8566f86a20-stuigEn.lg_sq@2x.JPG
97,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.017,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/29c8c180-66d2-11eb-a877-6b8566f86a20-stuiflS.lg_sq@2x.jpg
98,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.018,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a11a3000-66d4-11eb-a877-6b8566f86a20-stuif3a.lg_sq@2x.jpg
99,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.019,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c83c0190-6698-11eb-a877-6b8566f86a20-stuifKI.lg_sq@2x.JPG
100,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.020,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/41d488d0-66ba-11eb-a877-6b8566f86a20-stuierl.lg_sq@2x.JPG
101,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Interior of Dodd Mead Photo Studio.",1985.046.001.021,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/118a2800-66b6-11eb-a877-6b8566f86a20-stuiebg.lg_sq@2x.JPG
102,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.022,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/f1fbf8d0-66b8-11eb-a877-6b8566f86a20-stuieWC.lg_sq@2x.JPG
103,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.023,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/6d05dca0-66d5-11eb-a877-6b8566f86a20-stuieE1.lg_sq@2x.JPG
104,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.024,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c5dbee50-6694-11eb-a877-6b8566f86a20-stuidpr.lg_sq@2x.JPG
105,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.025,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/38e75840-66a3-11eb-a877-6b8566f86a20-stuid8I.lg_sq@2x.JPG
106,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.026,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fdc99530-669c-11eb-a877-6b8566f86a20-stuidRZ.lg_sq@2x.JPG
107,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.027,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/2c0abce0-66bf-11eb-a877-6b8566f86a20-stuidBH.lg_sq@2x.JPG
108,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.028,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/51ce18d0-66e4-11eb-b926-21c8fb58c7e7-stuicm5.lg_sq@2x.jpg
109,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.029,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/65ffacd0-66c4-11eb-a877-6b8566f86a20-stuic15.lg_sq@2x.JPG
110,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.030,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/af6623c0-66c1-11eb-a877-6b8566f86a20-stuicMQ.lg_sq@2x.JPG
111,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.031,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/d0efdb30-66c6-11eb-a877-6b8566f86a20-stuicxS.lg_sq@2x.JPG
112,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.032,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/61232e40-66c8-11eb-a877-6b8566f86a20-stuibhB.lg_sq@2x.JPG
113,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.033,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c7a15b50-66b0-11eb-a877-6b8566f86a20-stuiast.lg_sq@2x.JPG
114,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.034,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/e2d9d910-66ba-11eb-a877-6b8566f86a20-stuibWR.lg_sq@2x.JPG
115,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.035,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/9b5723d0-669d-11eb-a877-6b8566f86a20-stuiaVa.lg_sq@2x.JPG
116,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.036,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/5172b000-66b0-11eb-a877-6b8566f86a20-stuibID.lg_sq@2x.JPG
117,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.037,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/1e6be820-66c9-11eb-a877-6b8566f86a20-stuiad8.lg_sq@2x.JPG
118,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.038,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/3414de10-66a2-11eb-a877-6b8566f86a20-stuiaF0.lg_sq@2x.JPG
119,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Shows fallen branches at the Dodd Meade residence.",1985.046.001.039,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/9656f3d0-66a5-11eb-a877-6b8566f86a20-stui9p3.lg_sq@2x.JPG
120,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Shows fallen branches at the Dodd Meade residence.",1985.046.001.040,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/63137bd0-66e4-11eb-b926-21c8fb58c7e7-stui9O8.lg_sq@2x.jpg
121,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.041,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/0e017570-66c1-11eb-a877-6b8566f86a20-stui8sg.lg_sq@2x.JPG
122,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.042,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/66584dc0-66bc-11eb-a877-6b8566f86a20-stui9aR.lg_sq@2x.JPG
123,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.043,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/68155fe0-66e4-11eb-b926-21c8fb58c7e7-so3paIA.tn@2x.jpg
124,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.044,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/86c4dff0-66c2-11eb-a877-6b8566f86a20-stui8B0.lg_sq@2x.JPG
125,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.045,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/0870a360-66b7-11eb-a877-6b8566f86a20-stui7ly.lg_sq@2x.JPG
126,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.046,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/719e80f0-66bc-11eb-a877-6b8566f86a20-stui712.lg_sq@2x.jpg
127,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Interior of Dodd Mead Photo Studio.",1985.046.001.047,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/7222bc60-66cd-11eb-a877-6b8566f86a20-stui7Jx.lg_sq@2x.JPG
128,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Interior of Dodd Mead Photo Studio.",1985.046.001.048,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/6e98b3a0-66bf-11eb-a877-6b8566f86a20-stui6sJ.lg_sq@2x.JPG
129,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Interior of Dodd Mead Photo Studio.",1985.046.001.049,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/63349a30-66a9-11eb-a877-6b8566f86a20-stui6ay.lg_sq@2x.jpg
130,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Interior of Dodd Mead Photo Studio.",1985.046.001.050,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/eed28170-66bc-11eb-a877-6b8566f86a20-stui6RM.lg_sq@2x.jpg
131,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.051,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fcf6e270-66c9-11eb-a877-6b8566f86a20-stui6zf.lg_sq@2x.JPG
132,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.052,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/afdde8a0-66bd-11eb-a877-6b8566f86a20-stui5gm.lg_sq@2x.JPG
133,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.053,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/58cfc450-66bf-11eb-a877-6b8566f86a20-stui5Y1.lg_sq@2x.JPG
134,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.054,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c02d3790-66d8-11eb-a877-6b8566f86a20-stui5Gf.lg_sq@2x.JPG
135,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.055,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/81b10fa0-66c4-11eb-a877-6b8566f86a20-stui3OY.lg_sq@2x.JPG
136,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.056,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/47d9b8d0-66ca-11eb-a877-6b8566f86a20-stui4rd.lg_sq@2x.JPG
137,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.057,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/e273ed80-66c9-11eb-a877-6b8566f86a20-stui4bi.lg_sq@2x.JPG
138,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.

Exterior of Edinburg Hardware at 215 E. Cano",1985.046.001.058,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/76fd15b0-6695-11eb-a877-6b8566f86a20-stui4Sc.lg_sq@2x.JPG
139,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.

Exterior of Hiron's Furniture at 303 E. Harriman Blvd, Edinburg",1985.046.001.059,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/7c13b210-66c8-11eb-a877-6b8566f86a20-stui4CT.lg_sq@2x.JPG
140,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.060,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fc2c7ba0-66cb-11eb-a877-6b8566f86a20-stui3yd.lg_sq@2x.JPG
141,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.061,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fa7088e0-66cd-11eb-a877-6b8566f86a20-stui2j8.lg_sq@2x.JPG
142,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.062,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/91f998b0-669b-11eb-a877-6b8566f86a20-stui3mc.lg_sq@2x.JPG
143,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.063,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/83095600-66ab-11eb-a877-6b8566f86a20-stui37F.lg_sq@2x.JPG
144,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.064,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/9e4cfdb0-66bd-11eb-a877-6b8566f86a20-stui1A6.lg_sq@2x.JPG
145,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.

Exterior of Edinburg Hardware at 215 E. Cano",1985.046.001.065,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/1b898980-6699-11eb-a877-6b8566f86a20-stui2Yr.lg_sq@2x.JPG
146,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.066,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/45bbe710-66b8-11eb-a877-6b8566f86a20-stui2IX.lg_sq@2x.JPG
147,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Front of the Dodd Mead Studio blockaded with sandbags.",1985.046.001.067,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/73b116a0-66a3-11eb-a877-6b8566f86a20-stui1qi.lg_sq@2x.JPG
148,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.068,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/1e1db300-66c7-11eb-a877-6b8566f86a20-stui1cj.lg_sq@2x.JPG
149,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.069,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/89f7b0e0-66e4-11eb-b926-21c8fb58c7e7-stui1VL.lg_sq@2x.jpg
150,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.070,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/bdcecda0-66b6-11eb-a877-6b8566f86a20-stui0Lh.lg_sq@2x.JPG
151,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.071,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/55fe2ef0-66d9-11eb-a877-6b8566f86a20-stui0mr.lg_sq@2x.JPG
152,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.072,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/e0fe6f10-66ca-11eb-a877-6b8566f86a20-stui06k.lg_sq@2x.JPG
153,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Photo shows man and boy using pump to remove water from the Dodd Mead Photo Studio.",1985.046.001.073,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/302ba2b0-66b2-11eb-a877-6b8566f86a20-stui0wS.lg_sq@2x.JPG
154,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.074,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fedded90-66ab-11eb-a877-6b8566f86a20-stuiZgX.lg_sq@2x.JPG
155,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.075,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fa9c9830-669c-11eb-a877-6b8566f86a20-stuiZZu.lg_sq@2x.JPG
156,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.

Jolly's Jewelry at 212 E. Cano",1985.046.001.076,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/70e0cfe0-66b4-11eb-a877-6b8566f86a20-stuiZKo.lg_sq@2x.JPG
157,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.

Crawford's Shoes at 170 S. 12th Ave.",1985.046.001.077,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/7634f4d0-66c3-11eb-a877-6b8566f86a20-stuiZww.lg_sq@2x.JPG
158,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.

Edinburg Hardware at 215 E. Cano",1985.046.001.078,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/365c8550-66bc-11eb-a877-6b8566f86a20-stuiYgj.lg_sq@2x.JPG
159,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.079,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/3858ad00-66c8-11eb-a877-6b8566f86a20-stuiYYj.lg_sq@2x.JPG
